FLT_DPT_DT,CARRIER_CD,FLT_NBR,ORIG_AIRPORT_CD,DEST_AIRPORT_CD,SUB_CLASS_CD,CLASS_CD,CLASS_BOOKED_QTY,CREATE_DTTM,UPDATE_DTTM,SEAT_CABIN_LAYOUT,AIRCRAFT_TYPE_CD,LEG_IND,LANE_SEG_NBR,ETL_PROC_DT
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,E,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,X,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,G,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,L,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,N,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,Y,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,I,C,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,R,J,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,X,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,B,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,E,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,A,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,C,C,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,G,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,MF,8309,TAO,CSX,R,Y,34,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,Y183,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,V,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,S,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,G,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3937,CSX,TAO,I,J,1,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,R,J,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,Z,Y,49,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1931,CSX,TAO,L,Y,2,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,M,Y,20,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,Y,Y,0,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4874,CSX,TAO,I,C,1,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,Z,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,H,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,M,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,R,W,8,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,G,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,N,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,C,J,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,Y,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,U,Y,2,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,CZ,3938,TAO,CSX,Q,Y,0,2022/11/12 05:54:07.000000000,2022/12/09 23:54:07.000000000,J4W23Y138,32H,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,HO,1932,TAO,CSX,H,Y,0,2022/11/12 05:54:07.000000000,2022/11/24 23:54:07.000000000,J8Y155,32N,0,3,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4873,TAO,CSX,T,Y,27,2022/11/12 05:54:07.000000000,2022/12/13 23:54:07.000000000,C8W17Y141,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4872,CSX,TAO,J,Y,5,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y159,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,M,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
2022/12/12 00:00:00.000000000,SC,4871,TAO,CSX,V,Y,0,2022/11/12 05:54:07.000000000,2022/12/11 23:54:08.000000000,C8Y150,738,0,1,2022/12/14 16:49:40.000000000
ok, end of the file
